Track,Album,Album Disc Number,Album Label,Album Track Number,Area,Dates,Holiday/Special Event,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
Surf City,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 2:23.794,Jan and Dean ,24,
Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 2:18.784,Brian Hyland ,13,
Surfin' USA,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 2:21.768,The Beach Boys ,4,
Surf Jam,Surfin' USA,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 1:28.600,The Beach Boys ,8,"The loop track starts at around 3.304 of the album track to skip past the countdown vocal. The loop version of ""Surf Jam"" runs about 0.282 secs. slower than the CD version and after taking that into account, the loop version stops at around 1:31.621 of the album version."
King of the Surf Guitar [Vocal Version],,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 2:01.534,Dick Dale and the Del-Tones ,23,
Penetration,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 1:59.510,The Pyramids ,5,
Surfin' Hootenanny,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 2:03.336,Al Casey ,2,
Surfin' Safari,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 2:00.256,The Beach Boys ,19,
Surfer Girl,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 2:20.405,The Beach Boys ,15,
California Girls,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 2:37.689,The Beach Boys ,11,
Under the Sea,Disneymania,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 2:10.553,A*Teens ,10,
Beach Party,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 1:44.417,Annette Funicello ,12,
Surf Rider,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 2:21.357,The Lively Ones ,6,
Walking on Sunshine,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 3:47.869,Katrina and the Waves ,16,
California Sun,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 2:21.466,The Rivieras ,9,
Catch a Wave,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 2:15.436,The Beach Boys ,21,
Wipe Out,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 2:35.178,The Surfaris ,17,
Surf Blaster,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 3:00.217,The Vara-Tones ,3,
Summer Means Fun,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 2:06.941,Bruce and Terry ,7,
Vacation,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 2:17.394,Connie Francis ,14,
All for One,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 3:31.667,High School Musical 2 ,25,"This seems to be a karaoke version of ""All for One"" but the Disney Karaoke Series CD for HSM2 does not have this track"
"Dance, Dance, Dance",,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,"This loop played during dinner at the PCH Grill restaurant at the Paradise Pier Hotel. Preliminary tracklist compiled by pixelated based on his 2012 reference recording. It is possible that this was an original loop with additional inclusions of the modern Disney tracks. See MouseBits, https://mousebits.com/smf/index.php?topic=7440.msg66306#msg66306 (2012).",01:00:03.546, 1:55.875,The Beach Boys ,1,
Pipeline,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 2:53.133,The Ventures ,20,
Bahama Roller Coaster Ride,Disneymania 4,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 3:26.194,Baha Men ,18,
Perfidia,,,,,Disney's Paradise Pier Hotel,"December 15, 2000 → April 1, 2020",,PCH Grill,,, 2:00.366,The Ventures ,22,
Surfer Girl,Wouldn't It Be Nice: A Jazz Portrait of Brian Wilson,,,,Disney's Paradise Pier Hotel,,,Paradise Pier Hotel (interior) v.1 [REF],,,00:05:05.207,Don Grusin,10,Fade out ~5:08
Theme from the Endless Summer,Music From The Motion Picture Bruce Brown's The Endless Summer II,,,,Disney's Paradise Pier Hotel,,,Paradise Pier Hotel (interior) v.1 [REF],,,00:03:18.527,Gary Hoey,15,Fade out ends ~3:18
Up On the Roof,Ocean Boulevard,,,,Disney's Paradise Pier Hotel,,,Paradise Pier Hotel (interior) v.1 [REF],,,00:03:53.661,Jack Jezzro,5,
I Just Wasn't Made for These Times,Wouldn't It Be Nice: A Jazz Portrait of Brian Wilson,,,,Disney's Paradise Pier Hotel,,,Paradise Pier Hotel (interior) v.1 [REF],,,00:04:10.711,Larry Carlton,11,Late start ~04.438; Fade out ends ~4:19
Under the Boardwalk,Ocean Boulevard,,,,Disney's Paradise Pier Hotel,,,Paradise Pier Hotel (interior) v.1 [REF],,,00:04:05.079,Jack Jezzro,2,
Stay,Ocean Boulevard,,,,Disney's Paradise Pier Hotel,,,Paradise Pier Hotel (interior) v.1 [REF],,,00:02:41.352,Jack Jezzro,3,
I Love Beach Music,Ocean Boulevard,,,,Disney's Paradise Pier Hotel,,,Paradise Pier Hotel (interior) v.1 [REF],,,00:04:04.256,Jack Jezzro,8,Early fade out ends ~4:04
Myrtle Beach Days,Ocean Boulevard,,,,Disney's Paradise Pier Hotel,,,Paradise Pier Hotel (interior) v.1 [REF],,,00:03:52.145,Jack Jezzro,4,Early fade out ends ~3:52
Summertime's Calling Me,Ocean Boulevard,,,,Disney's Paradise Pier Hotel,,,Paradise Pier Hotel (interior) v.1 [REF],,,00:04:00.828,Jack Jezzro,7,Early fade out ends  ~4:01
Slow Dance with a Fast Girl,Guitar Noir,,,,Disney's Paradise Pier Hotel,,,Paradise Pier Hotel (interior) v.1 [REF],,,00:03:05.601,The Aqua Velvets,16,
